Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
SLC35B2|347734,1357.4344,1882.2305,1875.7534,2201.9429,1135.6699,1194.3659,2113.8344,1161.7846,1786.2012,1302.649,4987.984,1415.3728,2368.0157,2051.8587,1644.5521,2995.0413,1386.5422,1590.7591,1895.0384,1227.6532
SLC35B3|51000,639.0671,592.5926,485.3964,758.8322,575.4664,490.6273,1125.2723,538.9815,514.0482,499.3377,307.0761,468.5877,420.1213,231.2988,440.678,401.1019,374.2633,278.5479,1222.0341,479.7456
SLC35B4|84912,289.7959,431.5439,476.5879,358.5221,380.4409,341.397,442.8105,314.5561,247.3815,213.9073,383.6226,426.9456,171.7188,353.3731,379.1768,251.2397,524.0668,436.9637,446.4123,505.5239
SLC35C1|55343,503.207,809.4049,822.9022,467.7407,1026.0034,1211.1216,928.6492,674.1776,432.2527,937.0861,1332.8883,444.7922,1980.6652,1016.5213,556.4165,976.3085,830.5501,935.3135,832.921,978.239
SLC35C2|51006,1862.3907,1625.052,1382.0121,1962.1367,7312.606,1259.8178,2918.3007,1470.9329,1317.3732,1270.1987,1170.4495,1562.7217,2424.3815,895.8238,1117.1913,1505.7851,1387.0334,2388.1188,1170.9858,1063.2742
SLC35D1|23169,335.277,628.3812,769.5874,876.1235,901.0741,309.9801,663.9434,774.2226,726.1845,1035.7616,238.0952,1025.9508,279.2069,838.458,285.7143,1142.1488,885.0688,908.2508,358.38,1681.2856
SLC35D2|11046,475.2187,500.2081,326.3792,219.387,639.3443,676.5106,604.5752,374.9437,344.4722,769.5364,481.5309,205.9223,901.8515,284.0753,553.5109,1257.3003,419.9411,296.3696,1241.8284,624.3723
SLC35D3|340146,0.5831,4.5776,0.4636,1.8995,4.5223,0,1.634,2.7039,0,1.3245,4.4504,2.7456,0,0.4589,3.8741,0,1.9646,0,2.0836,1.0044
SLC35E1|79939,1226.2391,1747.3991,1390.357,1923.1979,2033.9175,1526.3378,2177.5599,1810.7256,1304.0732,2472.1854,1075.6564,1872.5204,886.777,1927.4897,1211.138,1834.7052,1666.5029,1381.5182,3496.8095,1344.158
SLC35E2|728661,1056.3673,2749.2135,1139.8285,2901.5786,1896.4952,958.98,3660.4139,1616.6201,1155.2452,1297.9603,3245.4072,1810.2311,559.0693,910.2891,1153.6707,994.1983,728.3153,2912.4554,1257.3304,698.075
